player_id,game_id,Salary,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,K_prcnt,position,RotoName,Roster Position,ERA
628711,565838,8000.0,2019-06-20,1,1,,1,3,0,1,0,0,5,0,0,1,0,10,0,0,.---,43,3.0,0,0,0,0,0,0,0,10,9,1,0,0,43.0,14.0,29,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,SF,-1,0.0,16.15,L,,11,9,0,9.0,5,2019,0.5,SP,juliurias,P,0.0
628711,565870,6400.0,2019-09-03,1,1,2.0,0,6,1,1,0,1,3,0,0,2,0,11,0,0,.---,44,3.0,0,0,0,0,0,0,1,11,9,1,0,0,44.0,16.0,28,0.0,0,0,0,0,1,0,3.00,3.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,COL,-1,0.0,9.55,L,,10,8,0,9.0,3,2019,0.2727272727272727,SP,juliurias,P,3.0
628711,565874,7600.0,2019-09-08,1,1,,1,1,0,0,0,0,4,0,0,3,0,9,0,1,1.000,43,2.0,0,0,0,0,0,0,0,9,6,1,0,0,43.0,14.0,29,0.0,0,0,1,0,0,0,0.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,SF,-1,0.0,10.7,L,,11,4,0,9.0,0,2019,0.4444444444444444,,juliurias,P,0.0
628711,567562,8000.0,2019-04-18,1,1,4.0,3,6,0,0,0,0,9,2,0,1,0,19,0,0,.---,91,6.0,1,0,0,0,0,0,0,21,18,1,0,0,91.0,34.0,57,0.0,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,MIL,-1,0.0,34.9,L,"(W, 1-1)",12,5,0,9.0,1,2019,0.4285714285714285,SP,juliurias,P,0.0
628711,630100,9900.0,2020-08-01,1,1,5.0,6,6,2,1,0,0,5,1,0,5,0,22,0,0,.---,90,6.0,1,0,0,0,0,0,2,23,18,1,0,0,90.0,33.0,57,0.0,0,0,0,0,2,0,3.00,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,ARI,-1,0.0,20.5,L,"(W, 1-0)",9,5,0,9.0,2,2020,0.217391304347826,SP,juliurias,P,3.0
628711,631015,9500.0,2020-08-25,1,1,1.0,3,4,4,2,0,1,6,3,0,6,0,19,0,0,.---,79,4.0,0,0,0,0,0,0,4,22,12,1,0,0,79.0,24.0,55,0.0,0,0,1,0,4,0,9.00,2.25,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,SF,-1,0.0,9.4,L,,14,14,0,10.2,8,2020,0.2727272727272727,,juliurias,P,9.0
628711,631048,10100.0,2020-08-19,1,1,,0,0,1,1,0,0,5,1,0,4,0,9,0,2,1.000,52,1.2,0,0,0,0,0,0,1,10,5,1,0,0,52.0,19.0,33,0.0,0,0,0,0,1,0,5.40,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,away,SEA,-1,0.0,8.299999999999999,L,,9,9,1,8.0,6,2020,0.5,,juliurias,P,7.5
628711,631331,9200.0,2020-09-12,1,1,5.0,3,10,1,1,0,0,3,4,0,3,0,19,1,0,.000,96,6.0,0,0,0,0,0,0,1,23,18,1,0,0,96.0,32.0,64,0.0,0,0,0,0,1,0,1.50,0.00,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,HOU,-1,0.0,15.7,L,,6,12,0,9.0,7,2020,0.1304347826086956,SP,juliurias,P,1.5
628711,631344,8700.0,2020-09-06,1,1,2.0,1,5,4,0,0,1,6,2,0,5,0,17,0,2,1.000,75,4.1,0,0,0,0,0,0,4,19,13,1,0,0,75.0,23.0,52,0.0,0,0,1,0,3,0,8.31,2.08,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,COL,-1,0.0,10.225,L,,11,12,0,9.0,7,2020,0.3157894736842105,,juliurias,P,8.78048780487805
628711,631351,9600.0,2020-08-13,1,1,7.0,5,11,2,0,0,2,3,0,0,5,0,24,0,0,.---,86,6.1,1,0,0,0,0,0,2,24,19,1,0,0,86.0,29.0,57,0.0,0,0,0,0,2,0,2.84,2.84,0,0,0,0,0,0,julio urias,Pitcher,LAD,home,SD,-1,0.0,16.725,L,"(W, 2-0)",6,6,0,9.0,2,2020,0.125,SP,juliurias,P,2.9508196721311477
