Salary,player_id,game_date,gamesPlayed,gamesStarted,flyOuts,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,stolenBasePercentage,numberOfPitches,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,pitchesThrown,balls,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,rbi,gamesFinished,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,passedBall,full_name,position_type,team,game_location,opp,order,complete_game_shutout,DKPts,throws,note,team_strikeOuts,team_hits,team_hitByPitch,team_inningsPitched,team_earnedRuns,season,game_id,K_prcnt,position,RotoName,Roster Position
7700.0,607074,2016-04-29,1,1,3.0,9,5,6,1,0,1,7,1,0,8,0,29,0,0,.---,102,7.0,0,1,0,0,0,0,4,30,21,1,0,0,102.0,37.0,65,0.0,0,0,0,0,5,0,7.71,1.29,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,BAL,-1,0.0,16.95,L,"(L, 1-3)",7,8,0,8.0,4,2016,447200,0.2333333333333333,SP,carlrodon,P
7400.0,607074,2016-05-04,1,1,5.0,4,6,3,0,0,1,6,3,0,6,1,22,0,0,.---,110,6.0,0,1,0,0,0,0,3,26,18,1,0,0,110.0,46.0,64,0.0,1,0,1,0,3,0,4.50,1.50,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,BOS,-1,0.0,15.3,L,"(L, 1-4)",7,11,1,9.0,5,2016,447271,0.2307692307692307,SP,carlrodon,P
7400.0,607074,2016-05-10,1,1,3.0,3,8,6,1,0,2,7,2,0,12,0,30,0,1,1.000,107,6.2,0,0,0,0,0,0,6,32,20,1,0,0,107.0,40.0,67,0.0,0,0,0,0,6,0,8.10,2.70,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,TEX,-1,0.0,8.750000000000004,L,,9,17,0,8.0,13,2016,447355,0.21875,SP,carlrodon,P
8800.0,607074,2016-05-17,1,1,3.0,6,7,3,0,0,2,7,1,1,6,0,26,0,1,1.000,108,6.0,0,0,0,0,0,0,2,27,18,1,0,0,108.0,45.0,63,0.0,0,0,0,0,3,0,4.50,3.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,home,HOU,-1,0.0,19.9,L,,11,11,0,11.0,5,2016,447449,0.2592592592592592,SP,carlrodon,P
7800.0,607074,2016-05-22,1,1,2.0,9,6,2,1,0,0,4,2,0,8,0,26,0,0,.---,102,6.2,1,0,0,0,0,0,2,29,20,1,0,0,102.0,39.0,63,0.0,0,0,0,0,2,0,2.70,0.00,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,home,KC,-1,0.0,17.150000000000002,L,"(W, 2-4)",8,8,0,9.0,2,2016,447522,0.1379310344827586,SP,carlrodon,P
7700.0,607074,2016-05-26,1,1,3.0,3,5,6,1,0,3,4,1,0,8,1,20,0,3,1.000,96,4.0,0,1,0,0,0,0,6,22,12,1,0,0,96.0,40.0,56,0.0,1,0,1,0,6,0,13.50,6.75,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,KC,-1,0.0,-0.3999999999999998,L,"(L, 7-10)",8,12,2,8.0,8,2016,447572,0.1818181818181818,SP,carlrodon,P
7700.0,607074,2016-05-28,1,1,5.0,5,7,1,2,0,0,3,2,0,6,0,21,0,2,1.000,105,5.0,0,0,0,0,0,0,1,23,15,1,0,0,105.0,39.0,66,0.0,0,0,1,0,1,0,1.80,0.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,KC,-1,0.0,11.65,L,,7,12,0,8.2,8,2016,447596,0.1304347826086956,,carlrodon,P
8400.0,607074,2016-06-03,1,1,6.0,4,7,4,2,0,2,5,3,0,7,0,23,0,1,1.000,101,6.0,0,1,0,0,0,0,4,26,18,1,0,0,101.0,38.0,63,0.0,0,0,1,0,4,0,6.00,3.00,0,0,0,0,0,0,carlos rodon,Pitcher,CWS,away,DET,-1,0.0,11.3,L,"(L, 2-5)",6,14,0,8.0,10,2016,447681,0.1923076923076923,SP,carlrodon,P
7500.0,607074,2016-06-12,1,1,4.0,2,6,2,1,0,0,7,2,1,7,1,21,2,0,.000,97,6.0,0,1,0,0,0,0,2,25,18,1,0,0,97.0,36.0,61,0.0,1,0,0,0,2,0,3.00,0.00,0,0,0,1,0,0,carlos rodon,Pitcher,CWS,home,KC,-1,0.0,18.7,L,"(L, 2-6)",10,11,1,9.0,3,2016,447808,0.28,SP,carlrodon,P
6200.0,607074,2016-06-19,1,1,1.0,3,7,2,1,0,1,8,1,0,8,0,25,0,2,1.000,99,6.1,0,0,0,0,0,0,2,27,19,1,0,0,99.0,33.0,66,0.0,0,0,0,0,2,0,2.84,1.42,0,0,0,0,1,0,carlos rodon,Pitcher,CWS,away,CLE,-1,0.0,20.925,L,,10,12,0,9.2,3,2016,447899,0.2962962962962963,SP,carlrodon,P
